,car_name,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
731,Maruti Swift,8,13000,Individual,Petrol,Manual,18.6,1197,85.8,5,450000
732,Ford Ecosport,7,60000,Dealer,Diesel,Manual,22.7,1498,89.84,5,460000
733,Honda City,3,41000,Dealer,Petrol,Manual,17.4,1497,117.3,5,800000
734,Hyundai i20,5,55000,Individual,Diesel,Manual,22.54,1396,88.73,5,540000
735,Maruti Swift Dzire,6,80000,Individual,Diesel,Manual,26.59,1248,74.0,5,480000
736,Maruti Swift Dzire,7,60000,Individual,Diesel,Manual,23.4,1248,74.0,5,450000
737,Mahindra Scorpio,5,46000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1065000
738,Toyota Innova,6,60200,Individual,Diesel,Manual,12.99,2494,100.6,8,820000
739,Renault KWID,4,30000,Individual,Petrol,Manual,25.17,799,53.3,5,300000
740,Ford Ecosport,8,98813,Dealer,Diesel,Manual,22.77,1498,98.59,5,350000
741,Maruti Alto,5,120000,Individual,Petrol,Manual,22.74,796,47.3,5,198000
742,Maruti Swift Dzire,8,80000,Individual,Diesel,Manual,23.4,1248,74.0,5,401000
743,Ford Ecosport,5,27000,Dealer,Petrol,Manual,15.85,1499,110.4,5,630000
744,Hyundai Verna,2,4000,Dealer,Petrol,Automatic,17.0,1591,121.3,5,1250000
745,Hyundai i20,7,60000,Individual,Diesel,Manual,22.54,1396,88.73,5,400000
746,Maruti Swift,6,45000,Dealer,Diesel,Manual,22.9,1248,74.0,5,450000
747,Maruti Swift,6,30000,Individual,Petrol,Manual,20.4,1197,81.8,5,450000
748,Maruti Vitara,4,79000,Individual,Diesel,Manual,24.3,1248,88.5,5,825000
749,Hyundai Grand,6,50283,Dealer,Petrol,Manual,18.9,1197,82.0,5,404000
750,Honda City,11,80000,Individual,Petrol,Manual,17.0,1497,118.0,5,300000
751,Hyundai i20,7,110000,Individual,Petrol,Manual,18.5,1197,82.85,5,450000
752,Toyota Innova,14,200000,Individual,Diesel,Manual,12.8,2494,102.0,7,500000
753,Hyundai i20,10,52000,Dealer,Petrol,Manual,18.5,1197,80.0,5,260000
754,Maruti Alto,5,50000,Individual,Petrol,Manual,22.74,796,47.3,5,235000
755,Maruti Baleno,3,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000
756,Renault KWID,3,20000,Individual,Petrol,Manual,23.01,999,67.0,5,367000
757,Maruti Swift Dzire,3,60000,Individual,Diesel,Manual,28.4,1248,74.02,5,740000
758,Maruti Swift Dzire,8,45000,Dealer,Diesel,Manual,23.4,1248,74.0,5,390000
759,Hyundai Grand,3,41000,Individual,Petrol,Manual,18.9,1197,81.86,5,520000
760,Maruti Swift Dzire,7,50900,Dealer,Diesel,Manual,19.3,1248,73.9,5,450000
761,Maruti Swift,4,55000,Dealer,Petrol,Manual,20.4,1197,83.11,5,450000
762,Maruti Swift,7,75727,Dealer,Petrol,Manual,21.21,1197,81.8,5,425000
763,Maruti Baleno,3,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,680000
764,Hyundai i20,2,20000,Individual,Petrol,Manual,18.6,1197,81.86,5,625000
765,Maruti Swift,9,62000,Dealer,Diesel,Manual,22.9,1248,74.0,5,349000
766,Maruti Alto,8,70000,Individual,Petrol,Manual,20.92,998,67.1,5,220000
767,Honda City,11,49000,Dealer,Petrol,Manual,17.4,1497,117.6,5,360000
768,Mahindra Scorpio,10,137000,Individual,Diesel,Automatic,11.79,2179,120.0,8,480000
769,Maruti Baleno,4,8245,Individual,Petrol,Manual,21.4,1197,83.1,5,690000
770,Ford Ecosport,6,69997,Dealer,Diesel,Manual,23.0,1498,98.96,5,530000
771,Maruti Vitara,2,35000,Individual,Diesel,Automatic,24.3,1248,88.5,5,940000
772,Maruti Vitara,4,20000,Dealer,Diesel,Manual,24.3,1248,88.5,5,775000
773,Maruti Swift,6,68251,Dealer,Diesel,Manual,28.4,1248,74.0,5,410000
774,Hyundai Creta,4,36000,Dealer,Petrol,Automatic,13.0,1591,121.3,5,1125000
775,Toyota Innova,10,60000,Individual,Diesel,Manual,12.8,2494,102.0,8,600000
776,Mahindra Scorpio,6,60000,Individual,Diesel,Manual,15.4,1997,120.0,7,1050000
777,Maruti Wagon R,3,60000,Individual,Petrol,Manual,20.51,998,67.04,5,375000
778,Honda Amaze,4,28000,Dealer,Petrol,Manual,17.8,1198,86.7,5,500000
779,Maruti Swift,5,42000,Dealer,Diesel,Manual,28.4,1248,74.0,5,485000
780,Maruti Swift,6,90000,Individual,Diesel,Manual,28.4,1248,74.0,5,420000
781,Hyundai i20,4,35000,Individual,Petrol,Manual,17.19,1197,81.86,5,600000
782,Honda City,10,50000,Dealer,Petrol,Manual,17.0,1497,118.0,5,300000
783,Volkswagen Polo,5,100000,Individual,Diesel,Manual,20.14,1498,88.0,5,630000
784,Mahindra XUV500,8,63000,Dealer,Diesel,Manual,15.1,2179,140.0,7,580000
785,Mahindra Scorpio,3,48976,Dealer,Diesel,Manual,15.4,2523,75.0,7,1011000
786,Maruti Wagon R,13,110000,Individual,Petrol,Manual,18.9,1061,67.0,5,125000
787,Maruti Wagon R,3,25000,Individual,Petrol,Manual,20.51,998,67.04,5,400000
788,Mahindra Scorpio,9,110000,Individual,Diesel,Manual,12.05,2179,120.0,9,600000
789,Mahindra XUV500,6,55000,Dealer,Diesel,Manual,16.0,2179,140.0,7,925000
790,Toyota Innova,4,136226,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1425000
791,Toyota Innova,12,250000,Individual,Diesel,Manual,12.8,2494,102.0,8,600000
792,Maruti Vitara,4,24000,Dealer,Diesel,Manual,24.3,1248,88.5,5,785000
793,Hyundai i20,4,7500,Individual,Petrol,Manual,17.19,1197,81.86,5,660000
794,Maruti Wagon R,9,20000,Individual,Petrol,Manual,18.9,998,67.1,5,230000
795,Hyundai Grand,3,15000,Individual,Petrol,Manual,18.9,1197,81.86,5,600000
796,Maruti Ciaz,2,15260,Dealer,Diesel,Manual,28.09,1248,88.5,5,1095000
797,Toyota Innova,7,60000,Dealer,Diesel,Manual,12.99,2494,100.6,7,775000
798,Maruti Alto,7,35000,Individual,Petrol,Manual,22.74,796,47.3,5,250000
799,Maruti Ciaz,3,70000,Individual,Diesel,Manual,28.09,1248,88.5,5,725000
800,Honda City,8,42462,Dealer,Petrol,Manual,17.8,1498,119.35,5,480000
801,Honda Amaze,1,12000,Dealer,Petrol,Manual,18.6,1199,88.76,5,785000
802,Honda City,7,70000,Individual,Petrol,Manual,17.4,1497,117.3,5,560000
803,Ford Ecosport,3,16000,Dealer,Petrol,Manual,17.0,1497,121.31,5,875000
804,Maruti Swift Dzire,9,55236,Dealer,Petrol,Manual,19.1,1197,85.8,5,350000
805,Honda City,4,49000,Dealer,Petrol,Automatic,17.4,1497,117.6,5,970000
806,Hyundai Grand,8,91468,Dealer,Diesel,Manual,24.0,1120,70.0,5,280000
807,Hyundai i20,2,20000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000
808,Maruti Alto,17,80000,Individual,Petrol,Manual,19.7,796,46.3,5,77000
809,Hyundai i10,10,80000,Dealer,Petrol,Manual,20.36,1197,78.9,5,225000
810,Maruti Swift,5,80000,Individual,Petrol,Manual,20.4,1197,81.8,5,510000
811,Mahindra Scorpio,6,35000,Individual,Diesel,Manual,15.4,1997,120.0,7,850000
812,Maruti Vitara,5,63000,Dealer,Diesel,Manual,24.3,1248,88.5,5,735000
813,Maruti Baleno,3,19000,Dealer,Petrol,Manual,21.01,1197,81.8,5,675000
814,Maruti Swift Dzire,6,36000,Dealer,Diesel,Manual,23.4,1248,74.0,5,545000
815,Maruti Alto,15,30000,Individual,Petrol,Manual,19.7,796,46.3,5,135000
816,Maruti Ertiga,6,72909,Dealer,Petrol,Manual,19.01,1462,103.26,7,525000
817,Hyundai Creta,4,38425,Dealer,Diesel,Manual,19.67,1582,126.2,5,960000
818,Hyundai i20,3,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,700000
819,Maruti Swift Dzire,4,74014,Dealer,Diesel,Manual,28.4,1248,74.02,5,669000
820,Hyundai Verna,3,15000,Individual,Diesel,Manual,22.0,1582,126.2,5,1240000
821,Maruti Alto,6,35100,Dealer,Petrol,Manual,23.95,998,67.05,5,290000
822,Hyundai Verna,13,120000,Individual,Diesel,Manual,16.8,1493,110.0,5,215000
823,Maruti Vitara,3,60000,Individual,Diesel,Manual,24.3,1248,88.5,5,850000
824,Hyundai Grand,4,22000,Individual,Petrol,Manual,18.9,1197,81.86,5,490000
825,Ford Figo,8,145000,Individual,Diesel,Manual,20.0,1399,68.1,5,240000
826,Maruti Swift,8,70000,Individual,Diesel,Manual,22.9,1248,74.0,5,330000
827,Maruti Alto,13,97000,Individual,Petrol,Manual,19.7,796,46.3,5,95000
828,Maruti Ertiga,7,22681,Dealer,Petrol,Manual,16.02,1373,93.7,7,525000
829,Hyundai i20,4,27000,Individual,Petrol,Manual,18.6,1197,81.83,5,575000
830,Maruti Swift,8,72000,Dealer,Diesel,Manual,28.4,1248,74.0,5,410000
831,Hyundai i20,7,57212,Dealer,Diesel,Manual,22.54,1396,88.73,5,550000
832,Hyundai i20,7,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,400000
833,Hyundai i20,3,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,660000
834,Maruti Swift Dzire,3,60000,Individual,Diesel,Manual,28.4,1248,74.02,5,700000
835,Maruti Alto,10,39513,Dealer,Petrol,Manual,23.95,998,67.05,5,200000
836,Maruti Ertiga,4,40000,Individual,Diesel,Manual,24.52,1248,88.5,7,865000
837,Mahindra XUV500,7,120000,Individual,Diesel,Manual,15.1,2179,140.0,7,900000
838,Maruti Wagon R,6,50000,Individual,Petrol,Manual,20.51,998,67.04,5,400000
839,Mahindra XUV500,4,65000,Dealer,Diesel,Automatic,16.0,1997,140.0,7,1175000
840,Renault KWID,5,80000,Individual,Petrol,Manual,25.17,799,53.3,5,250000
841,Honda Amaze,5,54000,Dealer,Petrol,Manual,18.0,1198,86.7,5,510000
842,Volkswagen Polo,11,61000,Dealer,Petrol,Manual,16.47,1198,73.9,5,235000
843,Renault KWID,5,25000,Individual,Petrol,Manual,23.01,999,67.0,5,300000
844,Maruti Swift,9,51000,Dealer,Petrol,Manual,16.1,1197,85.0,5,291000
845,Honda City,6,40000,Individual,Diesel,Manual,25.1,1498,98.6,5,620000
846,Hyundai i10,10,47000,Dealer,Petrol,Manual,20.36,1197,78.9,5,195000
847,Maruti Swift,3,25000,Individual,Diesel,Manual,28.4,1248,74.0,5,690000
848,Maruti Swift,8,30000,Individual,Petrol,Manual,18.6,1197,85.8,5,390000
849,Mahindra XUV500,9,80000,Individual,Diesel,Manual,15.1,2179,140.0,7,550000
850,Hyundai Creta,4,54000,Dealer,Petrol,Manual,15.8,1591,121.3,5,1050000
851,Maruti Alto,7,75001,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
852,Ford Figo,8,100000,Individual,Diesel,Manual,20.0,1399,68.1,5,250000
853,Mahindra XUV500,5,55766,Dealer,Diesel,Manual,16.0,2179,140.0,7,1151000
854,Maruti Alto,7,70000,Individual,Petrol,Manual,20.92,998,67.1,5,245000
855,Mahindra Scorpio,8,120000,Individual,Diesel,Manual,14.0,2523,75.0,8,500000
856,Maruti Swift Dzire,6,32000,Dealer,Diesel,Manual,19.3,1248,73.9,5,570000
857,Maruti Ciaz,4,44000,Dealer,Petrol,Manual,20.73,1373,91.1,5,775000
858,Maruti Swift,7,40000,Individual,Petrol,Manual,20.4,1197,81.8,5,320000
859,Mahindra XUV500,5,120000,Individual,Diesel,Automatic,16.0,2179,140.0,7,1400000
860,Maruti Swift Dzire,3,5000,Individual,Petrol,Automatic,21.21,1197,81.8,5,700000
861,Mahindra Scorpio,6,80000,Individual,Diesel,Manual,15.4,2523,75.0,9,800000
862,Toyota Innova,4,68000,Dealer,Diesel,Manual,13.68,2393,147.51,8,1360000
863,Maruti Wagon R,6,15000,Individual,Petrol,Manual,20.51,998,67.04,5,350000
864,Mahindra XUV500,6,50000,Dealer,Diesel,Manual,16.0,2179,140.0,7,799000
865,Hyundai Verna,12,110000,Individual,Diesel,Manual,18.1,1493,110.0,5,350000
866,Toyota Innova,7,70000,Dealer,Diesel,Manual,12.8,2494,102.0,8,740000
867,Maruti Swift,7,30000,Individual,Diesel,Manual,25.2,1248,74.0,5,500000
868,Maruti Swift Dzire,6,50000,Dealer,Petrol,Manual,22.0,1197,81.8,5,490000
869,Toyota Innova,3,50000,Individual,Diesel,Manual,13.68,2393,147.8,8,1500000
870,Maruti Swift Dzire,4,107000,Individual,Diesel,Manual,28.4,1248,74.02,5,490000
871,Honda City,11,68000,Dealer,Petrol,Manual,17.0,1497,118.0,5,325000
872,Hyundai i20,6,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,590000
873,Toyota Innova,5,35512,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1500000
874,Hyundai Creta,4,51000,Dealer,Diesel,Manual,22.1,1396,88.7,5,875000
875,Hyundai Grand,6,50000,Dealer,Petrol,Manual,18.9,1197,82.0,5,450000
876,Hyundai Creta,4,60000,Individual,Diesel,Manual,21.38,1396,88.7,5,850000
877,Maruti Ertiga,1,4500,Individual,Petrol,Manual,19.01,1462,103.26,7,830000
878,Mahindra XUV500,5,100000,Individual,Diesel,Manual,16.0,2179,140.0,7,829000
879,Hyundai Verna,9,50000,Individual,Petrol,Manual,17.1,1591,121.3,5,450000
880,Honda City,7,59250,Dealer,Petrol,Manual,17.4,1497,117.3,5,575000
881,Maruti Baleno,2,3500,Individual,Diesel,Manual,27.39,1248,74.0,5,700000
882,Maruti Wagon R,6,15000,Individual,Petrol,Manual,20.51,998,67.04,5,300000
883,Hyundai i20,4,53000,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000
884,Maruti Swift,3,56000,Individual,Petrol,Manual,22.0,1197,81.8,5,500000
885,Hyundai Creta,5,70000,Individual,Petrol,Manual,15.29,1591,121.3,5,815000
886,Maruti Swift Dzire,4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,900000
887,Toyota Innova,5,52000,Dealer,Petrol,Manual,11.25,2694,163.7,7,1300000
888,Hyundai Creta,5,10000,Individual,Petrol,Manual,15.29,1591,121.3,5,1000000
889,Maruti Swift,8,80000,Individual,Diesel,Manual,22.9,1248,74.0,5,350000
890,Maruti Wagon R,2,15000,Individual,Petrol,Manual,21.79,998,67.05,5,475000
891,Hyundai i20,3,20000,Individual,Petrol,Manual,18.6,1197,81.83,5,524000
892,Maruti Swift,14,187500,Individual,Diesel,Manual,17.8,1248,75.0,5,215000
893,Hyundai i20,7,67000,Dealer,Diesel,Manual,21.9,1396,90.0,5,355000
894,Maruti Swift,6,38000,Individual,Diesel,Manual,25.2,1248,74.0,5,530000
895,Toyota Innova,4,50000,Dealer,Petrol,Manual,11.25,2694,163.7,7,1500000
896,Hyundai i20,3,40000,Dealer,Petrol,Manual,18.6,1197,81.83,5,645000
897,Ford Ecosport,7,37000,Dealer,Diesel,Manual,22.7,1498,89.84,5,590000
898,Hyundai Grand,6,40000,Individual,Petrol,Manual,18.9,1197,82.0,5,350000
899,Maruti Alto,11,83000,Individual,Petrol,Manual,19.7,796,46.3,5,190000
900,Maruti Swift,4,80000,Individual,Diesel,Manual,28.4,1248,74.0,5,550000
901,Maruti Ciaz,5,35000,Individual,Diesel,Manual,28.09,1248,88.5,5,838000
902,Maruti Swift,3,30000,Individual,Petrol,Automatic,22.0,1197,81.8,5,575000
903,Toyota Innova,13,200000,Individual,Diesel,Manual,12.8,2494,102.0,8,600000
904,Ford Figo,8,54000,Dealer,Diesel,Manual,18.5,1399,68.0,5,195000
905,Hyundai Grand,3,54000,Individual,Diesel,Manual,24.0,1186,73.97,5,430000
906,Honda Amaze,6,120000,Individual,Petrol,Manual,18.0,1198,86.7,5,280000
907,Maruti Swift Dzire,4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,680000
908,Toyota Innova,8,75000,Dealer,Diesel,Manual,12.99,2494,100.0,7,600000
909,Maruti Baleno,2,40000,Individual,Petrol,Automatic,19.56,1197,81.8,5,550000
910,Volkswagen Polo,10,120000,Individual,Diesel,Manual,20.14,1498,88.8,5,450000
911,Hyundai i10,7,61000,Dealer,Petrol,Manual,19.81,1086,68.05,5,320000
912,Mahindra XUV500,7,51000,Dealer,Diesel,Manual,15.1,2179,140.0,7,735000
913,Honda City,6,53000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,741000
914,Hyundai Verna,10,75000,Dealer,Diesel,Automatic,22.32,1582,126.32,5,365000
915,Mahindra XUV500,6,110000,Individual,Diesel,Manual,16.0,1997,140.0,7,950000
916,Maruti Ertiga,6,48200,Dealer,Diesel,Manual,25.47,1248,88.5,7,535000
917,Maruti Swift,9,115000,Individual,Diesel,Manual,22.9,1248,74.0,5,300000
918,Maruti Wagon R,11,61000,Dealer,Petrol,Manual,20.51,998,67.04,5,195000
919,Maruti Ciaz,5,35000,Dealer,Diesel,Manual,28.09,1248,88.5,5,610000
920,Toyota Innova,6,90000,Individual,Diesel,Manual,12.99,2494,100.6,7,950000
921,Hyundai Grand,4,35000,Individual,Petrol,Automatic,18.9,1197,81.86,5,511000
922,Mahindra Scorpio,7,120000,Individual,Diesel,Manual,12.05,2179,120.0,9,600000
923,Maruti Alto,1,10000,Individual,Petrol,Manual,22.05,796,47.3,5,370000
924,Maruti Swift Dzire,4,60000,Individual,Petrol,Manual,21.21,1197,81.8,5,550000
925,Mahindra Scorpio,14,100000,Individual,Diesel,Manual,11.0,2179,120.0,5,217000
926,Maruti Swift Dzire,8,65000,Dealer,Diesel,Manual,23.4,1248,74.0,5,350000
927,Hyundai Verna,7,49599,Dealer,Petrol,Automatic,17.1,1591,121.4,5,610000
928,Maruti Alto,3,20000,Individual,Petrol,Manual,24.7,796,47.3,5,310000
929,Ford Ecosport,6,110000,Individual,Diesel,Manual,22.77,1498,98.59,5,600000
930,Ford Ecosport,2,64000,Dealer,Diesel,Manual,22.77,1498,98.59,5,850000
931,Maruti Baleno,4,35000,Individual,Petrol,Manual,21.4,1197,83.1,5,625000
932,Maruti Wagon R,3,15000,Individual,Petrol,Automatic,20.51,998,67.0,5,450000
933,Maruti Wagon R,6,60000,Individual,Petrol,Manual,20.51,998,67.04,5,325000
934,Mahindra Scorpio,6,80000,Dealer,Diesel,Manual,15.4,1997,120.0,7,825000
935,Maruti Alto,4,10000,Individual,Petrol,Manual,24.7,796,47.3,5,260000
936,Maruti Alto,11,48156,Dealer,Petrol,Manual,19.7,796,46.3,5,135000
937,Maruti Swift Dzire,5,46000,Individual,Diesel,Manual,26.59,1248,74.0,5,600000
938,Honda City,3,48959,Dealer,Petrol,Manual,17.4,1497,117.6,5,875000
939,Honda Amaze,4,53200,Dealer,Petrol,Manual,18.0,1198,86.7,5,475000
940,Maruti Wagon R,13,58000,Dealer,Petrol,Manual,18.9,998,67.1,5,125000
941,Hyundai i10,11,60000,Individual,Petrol,Manual,19.81,1086,68.05,5,150000
942,Maruti Ciaz,5,100000,Individual,Diesel,Manual,28.09,1248,88.5,5,650000
943,Hyundai i10,9,110000,Individual,Petrol,Manual,20.36,1197,78.9,5,300000
944,Mahindra XUV500,2,30000,Individual,Diesel,Manual,15.1,2179,152.87,7,1670000
945,Maruti Baleno,3,15000,Dealer,Petrol,Manual,21.4,1197,83.1,5,585000
946,Volkswagen Polo,7,40266,Dealer,Diesel,Manual,22.07,1199,73.9,5,475000
947,Honda Amaze,7,57432,Dealer,Petrol,Manual,18.0,1198,86.7,5,365000
948,Hyundai i20,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,560000
949,Hyundai i20,5,50000,Individual,Diesel,Manual,22.54,1396,88.73,5,650000
950,Maruti Ciaz,5,40000,Dealer,Diesel,Manual,28.09,1248,88.5,5,595000
951,Ford Ecosport,7,64532,Dealer,Diesel,Manual,22.7,1498,89.84,5,465000
952,Ford Ecosport,4,39601,Dealer,Petrol,Manual,15.9,1496,120.69,5,650000
953,Honda Amaze,6,28000,Individual,Petrol,Manual,18.0,1198,86.7,5,450000
954,Hyundai i20,3,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,625000
955,Maruti Swift Dzire,4,80000,Individual,Diesel,Automatic,28.4,1248,74.02,5,610000
956,Honda Amaze,3,30000,Individual,Petrol,Manual,17.8,1198,86.7,5,500000
957,Maruti Wagon R,13,100000,Individual,Petrol,Manual,18.9,1061,67.0,5,150000
958,Honda City,6,59000,Dealer,Diesel,Manual,26.0,1498,98.6,5,700000
959,Ford Figo,10,160000,Individual,Diesel,Manual,20.0,1399,68.0,5,225000
960,Maruti Swift Dzire,5,50000,Individual,Diesel,Manual,26.59,1248,74.0,5,700000
961,Maruti Ertiga,6,110000,Individual,Diesel,Manual,20.77,1248,88.76,7,565000
962,Maruti Wagon R,12,102558,Individual,Petrol,Manual,18.9,1061,67.0,5,120000
963,Hyundai i10,11,35000,Dealer,Petrol,Manual,20.36,1197,78.9,5,190000
964,Toyota Innova,7,110000,Individual,Diesel,Manual,12.99,2494,100.6,7,900000
965,Maruti Swift,10,80000,Individual,Diesel,Manual,22.9,1248,74.0,5,285000
966,Maruti Swift Dzire,2,27000,Dealer,Petrol,Manual,19.95,1197,81.8,5,570000
967,Mahindra Scorpio,5,48500,Dealer,Diesel,Manual,15.4,2179,120.0,7,851000
968,Ford Ecosport,5,40000,Individual,Diesel,Manual,22.77,1498,98.59,5,600000
969,Maruti Swift,2,20000,Individual,Petrol,Manual,22.0,1197,81.8,5,530000
970,Maruti Swift Dzire,4,36000,Dealer,Diesel,Manual,19.3,1248,73.9,5,600000
971,Maruti Swift Dzire,8,78000,Dealer,Petrol,Manual,19.1,1197,85.8,5,385000
972,Hyundai Creta,3,35000,Individual,Diesel,Manual,20.5,1582,126.2,5,1300000
973,Maruti Swift,5,24000,Dealer,Petrol,Manual,20.4,1197,83.11,5,485000
974,Maruti Alto,4,14400,Individual,Petrol,Manual,23.95,998,67.05,5,320000
975,Renault KWID,2,5700,Dealer,Petrol,Manual,23.01,999,67.0,5,360000
976,Hyundai Verna,4,72000,Dealer,Diesel,Manual,24.0,1396,88.76,5,698000
977,Mahindra Scorpio,11,60000,Individual,Diesel,Manual,13.5,2609,115.0,5,500000
978,Maruti Swift,3,14000,Dealer,Petrol,Manual,22.0,1197,81.8,5,590000
979,Ford Ecosport,4,70000,Individual,Diesel,Manual,22.77,1498,98.59,5,750000
980,Maruti Wagon R,5,120000,Individual,Petrol,Manual,20.51,998,67.04,5,290000
981,Toyota Innova,7,50000,Dealer,Diesel,Manual,12.99,2494,100.0,7,875000
982,Maruti Swift Dzire,8,33537,Dealer,Petrol,Manual,19.1,1197,85.8,5,420000
983,Ford Ecosport,6,75000,Dealer,Diesel,Manual,21.7,1498,98.96,5,475000
984,Hyundai i20,5,40000,Individual,Petrol,Manual,17.19,1197,81.86,5,600000
985,Hyundai i20,3,40000,Dealer,Petrol,Manual,17.19,1197,81.86,5,700000
986,Hyundai Creta,4,60000,Dealer,Petrol,Manual,15.8,1591,121.3,5,825000
987,Hyundai Creta,6,70000,Dealer,Diesel,Manual,19.67,1582,126.2,5,775000
988,Ford Ecosport,6,50000,Individual,Petrol,Manual,15.85,1499,110.4,5,540000
989,Maruti Swift,6,49000,Individual,Diesel,Manual,25.2,1248,74.0,5,380000
990,Ford Ecosport,5,51303,Dealer,Diesel,Manual,23.0,1498,98.96,5,780000
991,Hyundai i10,6,38000,Individual,Petrol,Manual,19.81,1086,68.05,5,350000
992,Mahindra Scorpio,6,120000,Individual,Diesel,Manual,15.4,1997,120.0,7,900000
993,Maruti Wagon R,9,60000,Individual,Petrol,Manual,18.9,998,67.1,5,250000
994,Hyundai i20,3,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,625000
995,Maruti Alto,11,35760,Dealer,Petrol,Manual,23.95,998,67.05,5,205000
996,Hyundai Verna,9,90000,Individual,Diesel,Manual,22.32,1582,126.32,5,370000
997,Hyundai Verna,3,12000,Dealer,Petrol,Manual,17.1,1591,121.3,5,1025000
998,Maruti Swift Dzire,7,70000,Individual,Diesel,Manual,23.4,1248,74.0,5,500000
999,Honda Amaze,7,27233,Dealer,Diesel,Manual,27.4,1498,98.63,5,465000
1000,Honda Amaze,8,49364,Dealer,Diesel,Manual,25.8,1498,98.6,5,340000
1001,Maruti Swift,6,64366,Dealer,Diesel,Manual,28.4,1248,74.0,5,468000
1002,Hyundai i20,6,30000,Individual,Diesel,Manual,22.54,1396,88.73,5,550000
1003,Hyundai i20,2,18000,Individual,Petrol,Manual,18.6,1197,81.86,5,650000
1004,Maruti Wagon R,5,30000,Individual,Petrol,Manual,20.51,998,67.04,5,340000
1005,Hyundai Creta,5,70000,Individual,Diesel,Manual,19.67,1582,126.2,5,950000
1006,Maruti Swift Dzire,5,15000,Individual,Petrol,Manual,20.85,1197,83.14,5,540000
1007,Ford Figo,8,62256,Dealer,Diesel,Manual,20.0,1399,68.05,5,300000
1008,Hyundai i20,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,680000
1009,Maruti Swift Dzire,6,68082,Dealer,Diesel,Manual,23.4,1248,74.0,5,465000
1010,Maruti Swift,3,30000,Dealer,Diesel,Manual,28.4,1248,74.0,5,760000
1011,Maruti Wagon R,16,84000,Individual,Petrol,Manual,14.0,1061,64.0,5,100000
1012,Ford Ecosport,6,36000,Dealer,Diesel,Manual,22.77,1498,98.59,5,565000
1013,Ford Ecosport,4,50000,Individual,Diesel,Manual,23.0,1498,98.96,5,650000
1014,Mahindra Scorpio,11,158000,Individual,Diesel,Automatic,11.79,2179,120.0,8,400000
1015,Maruti Swift,2,15000,Dealer,Petrol,Automatic,22.0,1197,81.8,5,650000
1016,Maruti Swift,9,52000,Dealer,Petrol,Manual,18.6,1197,85.8,5,299000
1017,Maruti Wagon R,14,80000,Dealer,Petrol,Manual,20.51,998,67.04,5,85000
1018,Hyundai Grand,7,49000,Dealer,Petrol,Automatic,18.9,1197,81.86,5,475000
1019,Maruti Alto,3,40000,Individual,Petrol,Manual,24.7,796,47.3,5,270000
1020,Honda Amaze,7,109000,Dealer,Diesel,Manual,25.8,1498,98.6,5,450000
1021,Maruti Ciaz,6,13000,Dealer,Petrol,Manual,20.73,1373,91.1,5,640000
1022,Hyundai Grand,6,62220,Dealer,Diesel,Manual,24.0,1120,70.0,5,490000
1023,Hyundai Creta,4,34000,Individual,Diesel,Manual,21.38,1396,88.7,5,1150000
1024,Mahindra XUV500,3,21000,Dealer,Diesel,Manual,15.1,2179,152.87,7,1325000
1025,Honda City,5,56000,Dealer,Petrol,Manual,17.8,1497,117.3,5,660000
1026,Mahindra XUV500,9,120000,Individual,Diesel,Manual,15.1,2179,140.0,7,780000
1027,Toyota Innova,13,184000,Dealer,Diesel,Manual,12.8,2494,102.0,8,480000
1028,Toyota Innova,5,108000,Dealer,Diesel,Manual,12.99,2494,100.6,8,1125000
1029,Hyundai Grand,2,40000,Individual,Petrol,Manual,18.9,1197,81.86,5,600000
1030,Honda City,11,70000,Dealer,Petrol,Manual,17.0,1497,118.0,5,370000
1031,Volkswagen Polo,8,48000,Dealer,Petrol,Manual,18.78,999,75.0,5,325000
1032,Honda City,6,87828,Dealer,Petrol,Manual,17.4,1497,117.3,5,595000
1033,Mahindra XUV500,3,30000,Individual,Diesel,Manual,16.0,2179,140.0,7,1200000
1034,Hyundai i20,4,52000,Dealer,Diesel,Manual,21.19,1396,88.76,5,745000
1035,Toyota Innova,3,28000,Dealer,Diesel,Automatic,11.36,2755,171.5,8,1890000
1036,Volkswagen Polo,8,93500,Individual,Diesel,Manual,22.07,1199,73.9,5,315000
